,Date,User,Tweet
22,2023-02-02 07:27:54+00:00,bpsdmdjtg,"Hai sobat kompeten!
Dlm rangka peningkatan profesionalitas SDM PBJ, @bpsdmdjtg @provjateng sbg TUK Mandiri @LKPP_RI, 
Th 2023 ini akan melaksanakan Ujikom PBJ. Yuk, sgr daftarkan diri utk ikuti Uji Kompetensi
#ASNBerAKHLAK 
#JatengGayeng 
@LKPP_RI
@LAN_RI 
@IrwantoArief1 https://t.co/UQ5FOKCwxl"
23,2023-02-01 11:30:26+00:00,PPSDM_ATRBPN,Hai #SobATRBPN Selamat kepada PPSDM Kementerian ATR/BPN yang telah menerima  Sertifikat Akreditasi Lembaga Penyelenggara Pelatihan Pengadaan Barang/Jasa (LPPBJ) dari Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Republik Indonesia (LKPP RI) ✨
24,2023-02-01 08:03:08+00:00,berlianmedia1,"Kepala LKPP RI Hendrar Prihadi mengatakan, pihaknya sering menemui beberapa kasus ASN yang sengaja tidak meluluskan ujian sertifikasi pengadaan barang/jasa.
https://t.co/soUF5Oo0sT"
25,2023-02-01 06:15:24+00:00,rmoljateng,"Kepala LKPP RI Soroti Banyak #ASN Takut Terlibat Dalam Proses Pengadaan #klikRMOL
https://t.co/iRf1ZQvDEH"
26,2023-01-31 09:17:49+00:00,Ada_tidak1,"@LKPP_RI Hallo LKPP, mau nanya sertifikasi PBJ lv.1, bisa diunduh di akun mulai kapan, setelah dinyatakan lulus..terimakasih"
27,2023-01-31 04:00:00+00:00,sahabatganjarww,"For information, Hevearita G Rahayu, who is familiarly called Ms Ita, was sworn in as Mayor of Semarang for the remainder of her 2021-2026 term. Ms Ita replaces Hendrar Prihadi, who is currently Head of LKPP RI.

#sahabatganjar #GanjarPranowo https://t.co/WkFYnK8I69"
28,2023-01-30 14:29:01+00:00,Yunus_portrait,"Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya.

#PDIPerjuangan
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak
#CatatanPolitik https://t.co/GLcKbjY3mV"
29,2023-01-30 10:15:50+00:00,AhmadLauhil,"Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan 

#PDIPerjuangan
#SolidBersamaRakyat
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak https://t.co/lfK7mKDvJ4"
30,2023-01-30 08:57:16+00:00,LKPP_RI,"Yuk gabung dan daftarkan produk usahamu pada Katalog Elektronik, ikut terlibat dalam Pengadaan Barang/Jasa Pemerintah!

Jangan lupa, update terus informasi terbaru seputar kebijakan LKPP melalui https://t.co/dEIwzryoLi

#LKPP
#DukungUMKM #KatalogElektronik
#BanggaBuatanIndonesia https://t.co/nG1pUOudoq"
31,2023-01-30 08:57:13+00:00,LKPP_RI,"Haloo Sobat Kredibel, Para Pelaku Usaha!

#TahukahKamu bagaimana cara menayangkan Produk di Katalog Elektronik? 

Simak infografik berikut ini untuk informasi selengkapnya terkait tata cara menayangkan produk di Katalog Elektronik ya.

#LKPP
#DukungUMKM #KatalogElektronik https://t.co/pPIM7qbTFY"
32,2023-01-30 07:50:44+00:00,MakGanjarOfc,"Sekilas info: Acara pelantikan digelar di Gedung Gradhika Bakti Praja lantai dua. Ita dilantik setelah sebelumnya menjabat plt Wali Kota Semarang karena Hendrar Prihadi atau Hendi, Wali Kota sebelumnya, diangkat menjadi Kepala LKPP RI."
33,2023-01-30 07:31:05+00:00,PDI_Perjuangan,"Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan di Kota Semarang https://t.co/nt2jHhAqQP"
34,2023-01-27 10:36:23+00:00,fuad_khoiron,@hendrarprihadi @LKPP_RI @erickthohir Mantab khas Hendy👍👍👍
35,2023-01-27 02:16:05+00:00,harytohary9,@LKPP_RI dan sampai detik ini masih lemot. pusing. gini kok minta cepat kelar kerjaan. https://t.co/LbzSPMjBbY
36,2023-01-27 01:08:22+00:00,AMustanirah,@LKPP_RI Servernya tertulis didnt respon
37,2023-01-27 01:06:51+00:00,AMustanirah,@LKPP_RI Knp website ekatalog bmasalah saat diakses. Loading trus tp halamannya gak terbuka.
38,2023-01-26 16:13:57+00:00,ivyong_ph,@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID The link in the OG tweet should now be working :)
39,2023-01-26 16:10:27+00:00,rahmaut,@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Yip. Found it!
40,2023-01-26 16:06:06+00:00,ivyong_ph,"@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Ah you're correct Rahma. Thanks for that! Here's the link and I hope it works this time around

https://t.co/Jyi2Gl8l7C"
41,2023-01-26 16:03:25+00:00,rahmaut,@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Hi Ivy! Rahma here. Is it only me or the page  is broken? It shows error 404 on my side
42,2023-01-26 13:40:09+00:00,dani_ramdhani12,Haduhhh bagaimana ini loginpun syusah @LKPP_RI https://t.co/OhV8ijkwKy
43,2023-01-26 11:54:05+00:00,ivyong_ph,Great to see the work of #opengov reformers inside &amp; outside govt - exciting commitments in @OpenGovIndo 2022-24 Action Plan! @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @PWYP_Indonesia @KPU_ID #Indonesia
44,2023-01-26 07:59:27+00:00,PDI_Perjuangan,"Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya. https://t.co/IWLBjZyNUO"
45,2023-01-26 06:34:37+00:00,takdelok,"@hendrarprihadi @LKPP_RI @erickthohir Walikotaku wes mundak pangkate😀
Selamat nggeh pak"
46,2023-01-26 03:01:42+00:00,hendrarprihadi,Alhamdulillah.. upaya mempercepat transformasi digital di @LKPP_RI mendapat dukungan dari Pak Menteri @erickthohir — https://t.co/Wrpkjrb80c
47,2023-01-26 01:40:22+00:00,ds_dwie,"@LKPP_RI Maaf pak @LKPP_RI , mohon sirupnya diperbaiki..
Pengadaan di daerah macet kalau kayak gini terus..
@KPK_RI"
48,2023-01-25 14:50:46+00:00,biroapbj_jtg,"@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Terkait produk sesuai PMK 58 th 2022 bhw objek PPN adlh produk BKP &amp; pemungut PPN adlh marketplace sehingga penyedia Non PKP apabila berjualan pd marketplace akan tetap dipungut PPN bila menggunakan PMK 58,
Produk tdk lolos verif disebabkan produk merupakan BKP shg dikenakan PPN"
49,2023-01-25 14:46:25+00:00,biroapbj_jtg,@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Utk produk yg dpt ditransaksikan di mitra toko daring saat ini sdh ada 14 kategori sesuai dengan kep deputi monev lkpp no 129 th 2022 kak..
50,2023-01-25 14:45:08+00:00,LKPP_RI,"Jangan sampai menghilangkan pelaku usaha kecil. Hal ini penting untuk menjaga rantai pasok agar tidak kolaps,” ucap Erick."
51,2023-01-25 14:45:07+00:00,LKPP_RI,"Menutup pertemuan tersebut Erick Tohir menyampaikan harapannya agar ekosistem yang dibangun LKPP tidak berhenti disini. “turunannya bisa financing dan industrialisasi, PR nya adalah proposional antara pelaku usaha kecil, menengah, besar harus dijaga."
52,2023-01-25 14:45:06+00:00,LKPP_RI,Perubahan antara manual menjadi digital tentunya membutuhkan resources yang lebih besar.
53,2023-01-25 14:45:05+00:00,LKPP_RI,Lebih lanjut Hendi menyampaikan bahwa sinergi yang sudah berjalan antara LKPP dengan PT Telkom sangat memudahkan pelayanan. Namun kedepan LKPP memiliki target-target pengembangan yang mesti diraih untuk memudahkan publik dalam proses PBJ secara digital.
54,2023-01-25 14:45:04+00:00,LKPP_RI,Sinergi antara LKPP dengan PT Telkom ini disambut baik oleh Menteri BUMN Erick Tohir. Ia menyampaikan Kementerian BUMN akan mendukung secara penuh kebutuhan LKPP dan terbuka dengan sinergi yang dapat dilakukan sehubungan dengan PBJ.
55,2023-01-25 14:45:02+00:00,LKPP_RI,"—namun penugasan Telkom ini masih belum bisa berjalan cepat karena penegasan dari Perpres Percepatan Transformasi Digital ini membutuhkan dukungan dari Menteri BUMN,” ujar Hendi."
56,2023-01-25 14:45:01+00:00,LKPP_RI,"“Kita sepakat bahwa terkait dengan Pengadaan Barang Jasa kita harus combine, transparan dan efisien. E-Catalogue sudah diawali dengan kerja sama bersama Telkom,—"
57,2023-01-25 14:44:59+00:00,LKPP_RI,"Untuk itu, pada Rabu (25/1) Kepala LKPP Hendrar Prihadi beserta jajarannya melakukan koordinasi dengan Menteri BUMN Erick Tohir."
58,2023-01-25 14:44:58+00:00,LKPP_RI,"Oleh karena itu, dibutuhkan dukungan lintas K/L agar kebijakan tersebut dapat segera digunakan.

Dalam peraturan yang saat ini dalam tahap penyusunan, salah satunya akan menegaskan tentang kerja sama antara LKPP dengan PT Telkom."
59,2023-01-25 14:44:57+00:00,LKPP_RI,"Jakarta – Sistem Katalog Elektronik yang dikembangkan LKPP membutuhkan penguatan dari aspek hukum, yaitu melalui Peraturan Presiden (Perpres) tentang Percepatan Transformasi Digital di Bidang Pengadaan Barang/Jasa Pemerintah. https://t.co/Hg3ZIUCWps"
60,2023-01-25 14:41:22+00:00,LKPP_RI,"Gabung sekarang dengan mengunjungi tautan berikut ini: https://t.co/TtiH6oRaL1

Kami tunggu partisipasinya! 

#LKPP
#PeningkatanKapasitas
#PelakuUsaha https://t.co/mNSox8t3ZI"
61,2023-01-25 14:41:16+00:00,LKPP_RI,"Haloo Sobat Kredibel.. 

Bagi kalian para Pelaku Usaha yang ingin meningkatkan kapasitasnya. Yuk, ikuti seminar peluang usaha dengan mendaftarkan diri pada Seminar Peningkatan Kapasitas Pelaku Usaha yang tertera sesuai jadwal pada infografik ini ☺️ https://t.co/gUzM0HILBr"
62,2023-01-25 14:25:57+00:00,kenjaya2016,"@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI (2) 𝚂𝚢 𝚙𝚎𝚛𝚗𝚊𝚑 𝚞𝚙𝚕𝚘𝚊𝚍 𝚙𝚛𝚘𝚍𝚞𝚔 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁. 𝙺𝚊𝚛𝚎𝚗𝚊 𝚜𝚊𝚢𝚊 𝚗𝚘𝚗 𝙿𝙺𝙿, 𝚜𝚊𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚒𝚜𝚒 𝚙𝚊𝚓𝚊𝚔 11 𝚙𝚎𝚛𝚜𝚎𝚗. 𝙼𝚊𝚔𝚊, 𝚙𝚘𝚜𝚝𝚒𝚗𝚐𝚊𝚗 𝚜𝚊𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚕𝚘𝚕𝚘𝚜 𝚟𝚎𝚛𝚒𝚏𝚒𝚔𝚊𝚜𝚒? 𝙼𝚎𝚗𝚐𝚊𝚙𝚊 𝚋𝚐𝚝?"
63,2023-01-25 14:25:33+00:00,kenjaya2016,"@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI 𝚜𝚊𝚢𝚊 𝚙𝚎𝚛𝚕𝚞 𝚍𝚒𝚋𝚊𝚗𝚝𝚞 𝚓𝚊𝚠𝚊𝚋, 𝚙𝚎𝚛𝚝𝚊𝚗𝚢𝚊𝚊𝚗 𝚜𝚊𝚢𝚊:
(1) 𝙱𝚊𝚛𝚊𝚗𝚐 𝚊𝚙𝚊 𝚊𝚓𝚊 𝚢𝚐 𝚋𝚒𝚜𝚊 𝚍𝚒𝚓𝚞𝚊𝚕 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁?"
64,2023-01-25 11:58:02+00:00,PDI_Perjuangan,"Kader PDI Perjuangan, Hendrar Prihadi terus menggelorakan semangat membangun ekonomi kerakyatan dalam perannya sebagai Kepala LKPP RI. https://t.co/H7lOp7vq8I"
65,2023-01-24 14:00:43+00:00,PDI_Perjuangan,"Untuk itu, dirinya bersama LKPP RI kemudian menggandeng PT. Telkom Indonesia guna melahirkan platform digital baru untuk pengadaan barang/jasa di Indonesia.

#PDIPerjuangan
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak"
66,2023-01-24 14:00:42+00:00,PDI_Perjuangan,"Menurutnya, agar transformasi sistem digital LKPP RI dapat diupayakan lebih cepat diperlukan keterlibatan pihak yang telah berpengalaman dalam urusan pengembangan tekhnologi."
67,2023-01-24 14:00:41+00:00,PDI_Perjuangan,"Untuk itu dirinya meminta agar sistem yang dijalankan oleh LKPP RI saat ini bisa bertranformasi untuk bisa lebih cepat, tepat, dan mudah digunakan.

Namun di sisi lain, Hendi pun tak memungkiri bahwa LKPP RI tidak dapat sendirian dalam membangun sistem seperti yang diinginkannya."
68,2023-01-24 14:00:41+00:00,PDI_Perjuangan,"Pasalnya, pria yang akrab disapa Hendi itu merasa bahwa sistem yang dimiliki oleh LKPP RI saat ini masih membingungkan, terlebih bagi pihak - pihak yang tidak akrab dengan tekhnologi."
69,2023-01-24 14:00:39+00:00,PDI_Perjuangan,"Hendi Gandeng Telkom Gagas Platform Baru Pengadaan Barang/Jasa

Kepala LKPP RI, Hendrar Prihadi mengungkapkan bahwa lembaga yang dipimpinnya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah. https://t.co/6XliFqwtoE"
70,2023-01-24 13:52:06+00:00,kumparan,"Kepala LKPP RI, Hendrar Prihadi alias Hendi, menjelaskan pihaknya berkolaborasi dengan PT Telkom untuk membuat platform digital pengadaan barang/jasa yang baru. https://t.co/WJhyC8BfR2"
71,2023-01-24 13:44:03+00:00,berlianmedia1,"Kepala LKPP RI Hendrar Prihadi mengatakan pihaknya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah.
https://t.co/nXp3icixeZ"
72,2023-01-24 12:01:55+00:00,AwalMediaN,"LKPP RI Gandeng PT Telkom Indonesia Ciptakan Platform Digital Baru - https://t.co/bdxEsJUpaL 

#AwalMediaNusantara #Berita"
