,Date,User,Tweet
21,2023-02-12 05:27:03+00:00,BJKT2Terpercaya,Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023. https://t.co/hYLfTtqaIK
22,2023-02-12 04:54:31+00:00,kabarbanyuwangi,"PURWOHARJO, Jawa Pos Radar Genteng – Polhutmob Perhutani KPH Banyuwangi Selatan kembali mengamankan puluhan gelondong kayu jati ilegal yang tersembunyi di semak-semak Dusun Curahjati, Desa Grajagan, Kecamatan Purwoharjo, pada Senin (6/2).

https://t.co/yZdJ8dGvMH"
23,2023-02-12 04:31:03+00:00,kabarbanyuwangi,"Banyuwangi, Jawa Timur - Sebanyak 44 batang kayu jati gelondongan diamankan Polsek Pesanggaran bersama Polhutmob Perhutani KPH Banyuwangi Selatan. Diduga, kayu-kayu ini ditinggalkan para pelaku pembalakan liar, diangkut menggunakan truk. Tumpukan

https://t.co/7P1uo5NpMc"
24,2023-02-12 04:30:14+00:00,bumnptkrapi,"Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023.

#PerhutaniDukungUMKM https://t.co/m37RXUTDSM"
25,2023-02-12 04:27:30+00:00,Wrdhaft,"@jembermfs Di deket koskuuu ada kak, di gang mahoni belakang perhutani jember"
26,2023-02-11 22:31:02+00:00,Bumn_Crbn_Sigap,"Perhutani terus mendukung perkembangan UMKM dan terus melakukan sinergitas bersama Platform PaDI UMKM dengan melakukan belanja secara digital, transparan dan efisien.

#PerhutaniDukungUMKM"
27,2023-02-11 22:30:50+00:00,Bumn_Crbn_Sigap,Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023. https://t.co/1AGHy7kjfw
28,2023-02-11 22:00:30+00:00,infowisatajabar,Wisata Alam - Peternakan Buaya di kec. Belanakan yang dikelola PT Perhutani Unit III Jabar dan Banten https://t.co/0XZEsytMnq
29,2023-02-11 15:23:01+00:00,BumnDprRapi,Perum Perhutani meraih penghargaan sebagai Juara 2 transaksi terbaik dalam Kick Off Belanja &amp; Business Matching (BM) dengan Gross Merchandise Value / Value Tertinggi dalam kategori BUMN Pasar Digital (PaDi) UMKM 2023. https://t.co/3xKmAyvolx
30,2023-02-11 15:02:08+00:00,its_sweetchaos_,@jembermfs depan kantor perhutani
