id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
59,1654402746794283008,"https://twitter.com/mingskyyy_/statuses/1654402746794283008","https://twitter.com/mingskyyy_/statuses/1654402746794283008","mingskyyy_","Ketua DPP Partai Kebangkitan Bangsa (PKB) Faisol Riza, menjelaskan hasil pertemuan antara Cak Imin dengan Airlangga Hartanto yang berlangsung di Resto Pelataran Senayan, Jakarta Pusat. #AllInPrabowo #IkutPakde Prabowo Subianto","Ketua DPP Partai Kebangkitan Bangsa (PKB) Faisol Riza, menjelaskan hasil pertemuan antara Cak Imin dengan Airlangga Hartanto yang berlangsung di Resto Pelataran Senayan, Jakarta Pusat. #AllInPrabowo #IkutPakde Prabowo Subianto","2023-05-05 04:28:46","Twitter Web App",0,0,"in","","reply","mingskyyy_",1485922326453841921,1654402744638410752,"",0,0,1485922326453841921,"https://pbs.twimg.com/profile_images/1630464523726655490/sM28Wxp0_normal.jpg",18579,127,89,"2022-01-25 05:27:50","Never regret a day in your life. Good days bring you happiness and bad days give you experience.","Jakarta Selatan, DKI Jakarta","",
60,1654388886741860353,"https://twitter.com/ajengcute16__/statuses/1654388886741860353","https://twitter.com/ajengcute16__/statuses/1654388886741860353","ajengcute16__","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 03:33:42","Twitter Web App",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1258626853541052421,"https://pbs.twimg.com/profile_images/1625757703120510978/zwSOVGNW_normal.jpg",50210,2590,7862,"2020-05-08 01:17:07","Ketua Departemen Humas & Media DPP Perempuan Demokrat Republik Indonesia @PDRIOFFICIAL | KETUM @OfficialAsoppsi #PewiraUsahaPemula | Pendukung AHY |","Dihati mu 💙","",
61,1654385365267128321,"https://twitter.com/RaisaTjokrodnta/statuses/1654385365267128321","https://twitter.com/RaisaTjokrodnta/statuses/1654385365267128321","RaisaTjokrodnta","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 03:19:42","Twitter for Android",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1175689739640303616,"https://pbs.twimg.com/profile_images/1427828107302424579/MHHZdrGl_normal.jpg",24052,537,5020,"2019-09-22 04:34:28","Cinta dan empaty","Jawa Tengah, Indonesia","",
62,1654378540572512258,"https://twitter.com/Indotimesnet/statuses/1654378540572512258","https://twitter.com/Indotimesnet/statuses/1654378540572512258","Indotimesnet","RT @Indotimesnet: Koalisi Indonesia Bersatu Tak Bubar Usai PPP Dukung Ganjar Pranowo Jadi Capres 2024, Airlangga Hartanto: KIB Tidak Ikut C…","Koalisi Indonesia Bersatu Tak Bubar Usai PPP Dukung Ganjar Pranowo Jadi Capres 2024, Airlangga Hartanto: KIB Tidak Ikut Campur Urusan Masing-masing Partai https://t.co/kzKr7cqNyg #indotimes","2023-05-05 02:52:35","dlvr.it",0,1,"in","","retweet","",0,0,"Indotimesnet",1611310688177393669,1651841563440607238,1611310688177393669,"https://pbs.twimg.com/profile_images/1611310975684317184/cOi2NPYV_normal.jpg",1334,1,1,"2023-01-06 05:36:51","","","",
63,1654372596924948485,"https://twitter.com/BakomstraPD/statuses/1654372596924948485","https://twitter.com/BakomstraPD/statuses/1654372596924948485","BakomstraPD","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 02:28:58","Twitter for iPhone",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1264275110636052482,"https://pbs.twimg.com/profile_images/1264279135804772352/BVrt8XiB_normal.jpg",14037,291,4135,"2020-05-23 15:21:01","Akun resmi Badan Komunikasi Strategis (Bakomstra) DPP Partai Demokrat | Saluran Informasi Aktual Partai Demokrat (SIAPD)","","",
64,1654371237723004928,"https://twitter.com/balad_kangasep/statuses/1654371237723004928","https://twitter.com/balad_kangasep/statuses/1654371237723004928","balad_kangasep","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 02:23:34","Twitter for Android",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1550965662264135680,"https://pbs.twimg.com/profile_images/1553912795678523392/UQ8PCICC_normal.jpg",3141,509,248,"2022-07-23 18:07:07","Relawan Asep Hidayat Ketua DPC Partai Demokrat Kota Tangerang","","",
65,1654370885451776000,"https://twitter.com/pdemokratkotatg/statuses/1654370885451776000","https://twitter.com/pdemokratkotatg/statuses/1654370885451776000","pdemokratkotatg","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 02:22:10","Twitter for Android",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1543885358748016640,"https://pbs.twimg.com/profile_images/1590903078274093056/N3Fxtush_normal.jpg",5713,865,663,"2022-07-04 05:12:31","Akun Resmi DPC Partai Demokrat Kota Tangerang","Kota Tangerang","",
66,1654369809994514433,"https://twitter.com/m_natsirdmokrat/statuses/1654369809994514433","https://twitter.com/m_natsirdmokrat/statuses/1654369809994514433","m_natsirdmokrat","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 02:17:54","Twitter for Android",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,707572759518257152,"https://pbs.twimg.com/profile_images/1650273697603919873/DKrDj2S6_normal.jpg",148925,3074,5507,"2016-03-09 09:24:26","Pikiran adalah suatu potensi yang dapat menghubungkan konsep ilmu dg obyek. Sedang merenung adalah pengembaraan potensi itu mengikuti kapasitas akalnya.","Sarana Sambung Rasa ","",
67,1654343533636239368,"https://twitter.com/1489Sba/statuses/1654343533636239368","https://twitter.com/1489Sba/statuses/1654343533636239368","1489Sba","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 00:33:29","Twitter Web App",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1612755395189288960,"https://pbs.twimg.com/profile_images/1612756757977391107/qtusxT___normal.jpg",805,9,5,"2023-01-10 05:17:31","Sahabat Demokrat S14P","Ngawi, Indonesia","",
68,1654338060459585536,"https://twitter.com/MudiBanten/statuses/1654338060459585536","https://twitter.com/MudiBanten/statuses/1654338060459585536","MudiBanten","RT @IbasNews: Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 Ap…","Mas Ibas dampingi Bapak SBY dan Mas AHY sambut hangat Ketua Umum DPP Partai Golkar, Airlangga Hartanto. (Cikeas, Sabtu, 29 April 2023)  #IbasNews #Ibas #EBY #EdhieBaskoroYudhoyono #pdemokrat #s14p #berjuangbersamarakyat #perubahandanperbaikan #ahy https://t.co/PUV9suWBHC","2023-05-05 00:11:44","Twitter for Android",0,16,"in","","retweet","",0,0,"IbasNews",1288864373885132800,1654321759762669568,1172089528393203712,"https://pbs.twimg.com/profile_images/1578356417937178625/ucVL2Jun_normal.jpg",21947,818,1364,"2019-09-12 06:08:28","AUTOFOLLBACK📱📲  #DEMOKRATS1️⃣4️⃣P #MudaAdalahKekuatan","","",
