id,kode_kabupaten_kota,kode_provinsi,kondisi_hutan,luas_hutan,nama_kabupaten_kota,nama_provinsi,satuan,tahun
55,3211,32,BERUBAH FUNGSI,0,KABUPATEN SUMEDANG,JAWA BARAT,HEKTAR,2014
56,3212,32,BAIK,15500,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
57,3212,32,SEDANG,5000,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
58,3212,32,RUSAK,25850,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
59,3212,32,REHABILITASI,7160,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
60,3212,32,BERUBAH FUNGSI,0,KABUPATEN INDRAMAYU,JAWA BARAT,HEKTAR,2014
61,3213,32,BAIK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
62,3213,32,SEDANG,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
63,3213,32,RUSAK,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
64,3213,32,REHABILITASI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
65,3213,32,BERUBAH FUNGSI,0,KABUPATEN SUBANG,JAWA BARAT,HEKTAR,2014
66,3214,32,BAIK,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
67,3214,32,SEDANG,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
68,3214,32,RUSAK,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
69,3214,32,REHABILITASI,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
70,3214,32,BERUBAH FUNGSI,0,KABUPATEN PURWAKARTA,JAWA BARAT,HEKTAR,2014
71,3215,32,BAIK,50,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2014
72,3215,32,SEDANG,100,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2014
73,3215,32,RUSAK,50,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2014
74,3215,32,REHABILITASI,0,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2014
75,3215,32,BERUBAH FUNGSI,0,KABUPATEN KARAWANG,JAWA BARAT,HEKTAR,2014
76,3216,32,BAIK,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2014
77,3216,32,SEDANG,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2014
78,3216,32,RUSAK,0,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2014
79,3216,32,REHABILITASI,5000,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2014
80,3216,32,BERUBAH FUNGSI,998115,KABUPATEN BEKASI,JAWA BARAT,HEKTAR,2014
81,3217,32,BAIK,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2014
82,3217,32,SEDANG,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2014
83,3217,32,RUSAK,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2014
84,3217,32,REHABILITASI,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2014
85,3217,32,BERUBAH FUNGSI,0,KABUPATEN BANDUNG BARAT,JAWA BARAT,HEKTAR,2014
86,3218,32,BAIK,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2014
87,3218,32,SEDANG,1900,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2014
88,3218,32,RUSAK,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2014
89,3218,32,REHABILITASI,250,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2014
90,3218,32,BERUBAH FUNGSI,0,KABUPATEN PANGANDARAN,JAWA BARAT,HEKTAR,2014
91,3271,32,BAIK,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2014
92,3271,32,SEDANG,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2014
93,3271,32,RUSAK,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2014
94,3271,32,REHABILITASI,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2014
95,3271,32,BERUBAH FUNGSI,0,KOTA BOGOR,JAWA BARAT,HEKTAR,2014
96,3272,32,BAIK,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2014
97,3272,32,SEDANG,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2014
98,3272,32,RUSAK,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2014
99,3272,32,REHABILITASI,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2014
100,3272,32,BERUBAH FUNGSI,0,KOTA SUKABUMI,JAWA BARAT,HEKTAR,2014
101,3273,32,BAIK,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2014
102,3273,32,SEDANG,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2014
103,3273,32,RUSAK,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2014
104,3273,32,REHABILITASI,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2014
105,3273,32,BERUBAH FUNGSI,0,KOTA BANDUNG,JAWA BARAT,HEKTAR,2014
106,3274,32,BAIK,200,KOTA CIREBON,JAWA BARAT,HEKTAR,2014
107,3274,32,SEDANG,50,KOTA CIREBON,JAWA BARAT,HEKTAR,2014
108,3274,32,RUSAK,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2014
109,3274,32,REHABILITASI,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2014
110,3274,32,BERUBAH FUNGSI,0,KOTA CIREBON,JAWA BARAT,HEKTAR,2014
111,3275,32,BAIK,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2014
112,3275,32,SEDANG,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2014
113,3275,32,RUSAK,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2014
114,3275,32,REHABILITASI,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2014
115,3275,32,BERUBAH FUNGSI,0,KOTA BEKASI,JAWA BARAT,HEKTAR,2014
116,3276,32,BAIK,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2014
117,3276,32,SEDANG,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2014
118,3276,32,RUSAK,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2014
119,3276,32,REHABILITASI,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2014
120,3276,32,BERUBAH FUNGSI,0,KOTA DEPOK,JAWA BARAT,HEKTAR,2014
121,3277,32,BAIK,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2014
