,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
0,Putusan MAHKAMAH AGUNG Nomor 1287 PK/Pid.Sus/2022,0,0,2023-06-07,09-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
1,Putusan MAHKAMAH AGUNG Nomor 1330 K/Pid.Sus-LH/2023,1,0,2023-06-07,11-08-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Pidsus Kehutanan,Berkekuatan Hukum Tetap
2,Putusan MAHKAMAH AGUNG Nomor 1363 K/Pid.Sus/2023,2,0,2023-06-07,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
3,Putusan MAHKAMAH AGUNG Nomor 2061 K/Pid.Sus/2021,1,0,2023-06-07,26-08-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
4,Putusan MAHKAMAH AGUNG Nomor 2618 K/Pid.Sus/2021,1,0,2023-06-07,27-08-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
5,Putusan MAHKAMAH AGUNG Nomor 3359 K/Pid.Sus/2021,0,0,2023-06-07,03-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
6,Putusan MAHKAMAH AGUNG Nomor 3811 K/Pid.Sus/2020,2,1,2023-06-07,16-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
7,Putusan MAHKAMAH AGUNG Nomor 6895 K/Pid.Sus/2022,1,0,2023-06-07,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
8,Putusan MAHKAMAH AGUNG Nomor 239 PK/Pid.Sus/2023,0,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
9,Upload :,2,1,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
10,Putus :,2,0,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
11,Register :,0,0,2023-06-07,16-05-2023,Pengadilan  MAHKAMAH AGUNG  TUN,Berkekuatan Hukum Tetap
12,Putusan MAHKAMAH AGUNG Nomor 132 K/TUN/TF/2023,1,0,2023-06-07,17-04-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pertanahan,Berkekuatan Hukum Tetap
13,Upload :,0,0,2023-06-07,12-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Hak Uji Materiil,Berkekuatan Hukum Tetap
14,Putus :,1,0,2023-06-07,27-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Hak Uji Materiil,Berkekuatan Hukum Tetap
15,Register :,2,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Lalu Lintas,Berkekuatan Hukum Tetap
16,Putusan MAHKAMAH AGUNG Nomor 64 P/HUM/2022,1,0,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
17,Putusan MAHKAMAH AGUNG Nomor 256 K/Pid/2023,2,2,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
18,Putusan MAHKAMAH AGUNG Nomor 585 K/Pid.Sus/2023,2,2,2023-06-07,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
19,Putusan MAHKAMAH AGUNG Nomor 587 K/Pid.Sus/2023,2,3,2023-06-07,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
20,Putusan MAHKAMAH AGUNG Nomor 1312 K/Pid.Sus/2023,6,0,2023-06-06,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
21,Putusan MAHKAMAH AGUNG Nomor 1458 K/Pid.Sus/2021,6,2,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
22,Putusan MAHKAMAH AGUNG Nomor 1459 K/Pid.Sus/2021,6,0,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
23,Putusan MAHKAMAH AGUNG Nomor 2660 K/Pid.Sus/2020,6,2,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
24,Putusan MAHKAMAH AGUNG Nomor 2661 K/Pid.Sus/2020,6,2,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
25,Putusan MAHKAMAH AGUNG Nomor 2876 K/Pid.Sus/2021,6,0,2023-06-06,06-10-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
26,Putusan MAHKAMAH AGUNG Nomor 3121 K/Pid.Sus/2021,6,0,2023-06-06,03-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
27,Putusan MAHKAMAH AGUNG Nomor 3188 K/Pid.Sus/2020,7,0,2023-06-06,25-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
28,Putusan MAHKAMAH AGUNG Nomor 3404 K/Pid.Sus/2020,6,0,2023-06-06,25-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
29,Putusan MAHKAMAH AGUNG Nomor 3410 K/Pid.Sus/2021,6,0,2023-06-06,03-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
30,Putusan MAHKAMAH AGUNG Nomor 3650 K/Pid.Sus/2021,6,0,2023-06-06,24-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
31,Putusan MAHKAMAH AGUNG Nomor 4311 K/Pid.Sus/2021,7,0,2023-06-06,15-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
32,Putusan MAHKAMAH AGUNG Nomor 4820 K/Pid.Sus/2021,7,0,2023-06-06,08-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
33,Putusan MAHKAMAH AGUNG Nomor 6006 K/Pid.Sus/2022,6,2,2023-06-06,08-11-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
34,Putusan MAHKAMAH AGUNG Nomor 6587 K/Pid.Sus/2022,6,3,2023-06-06,15-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
35,Putusan MAHKAMAH AGUNG Nomor 6903 K/Pid.Sus/2022,7,6,2023-06-06,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
36,Putusan MAHKAMAH AGUNG Nomor 2886 K/Pid.Sus/2021,2,0,2023-06-06,08-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
37,Putusan MAHKAMAH AGUNG Nomor 2966 K/Pid.Sus/2021,2,1,2023-06-06,24-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
38,Putusan MAHKAMAH AGUNG Nomor 4099 K/Pid.Sus/2021,1,0,2023-06-06,09-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
39,Putusan MAHKAMAH AGUNG Nomor 397 K/Pid/2023,5,1,2023-06-06,02-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penipuan,Berkekuatan Hukum Tetap
40,Putusan MAHKAMAH AGUNG Nomor 522 K/Pid/2023,4,1,2023-06-06,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Pencurian,Berkekuatan Hukum Tetap
41,Putusan MAHKAMAH AGUNG Nomor 524 K/Pid.Sus/2023,4,1,2023-06-06,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Perbankan,Berkekuatan Hukum Tetap
42,Putusan MAHKAMAH AGUNG Nomor 534 K/Pid/2023,4,2,2023-06-06,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum,Berkekuatan Hukum Tetap
43,Putusan MAHKAMAH AGUNG Nomor 542 K/Pid.Sus/2023,2,0,2023-06-06,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
44,Putusan MAHKAMAH AGUNG Nomor 543 K/Pid.Sus/2023,2,1,2023-06-06,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
45,Putusan MAHKAMAH AGUNG Nomor 545 K/Pid.Sus/2023,1,0,2023-06-06,04-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
46,Putusan MAHKAMAH AGUNG Nomor 555 K/Pid.Sus/2023,1,0,2023-06-06,23-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
47,Putusan MAHKAMAH AGUNG Nomor 716 K/Pid.Sus/2023,1,0,2023-06-06,09-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
48,Putusan MAHKAMAH AGUNG Nomor 765 K/Pid.Sus/2023,6,1,2023-06-06,29-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
49,Putusan MAHKAMAH AGUNG Nomor 774 K/Pid.Sus/2023,6,0,2023-06-06,10-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
50,Putusan MAHKAMAH AGUNG Nomor 795 K/Pid.Sus-LH/2023,6,0,2023-06-06,05-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
51,Putusan MAHKAMAH AGUNG Nomor 800 K/Pid.Sus/2023,6,0,2023-06-06,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
52,Putusan MAHKAMAH AGUNG Nomor 811 K/Pid.Sus/2023,6,0,2023-06-06,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
53,Putusan MAHKAMAH AGUNG Nomor 813 K/Pid.Sus/2023,6,0,2023-06-06,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
54,Putusan MAHKAMAH AGUNG Nomor 825 K/Pid.Sus/2023,5,0,2023-06-06,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
55,Putusan MAHKAMAH AGUNG Nomor 833 K/Pid.Sus/2023,12,21,2023-06-05,03-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
56,Putusan MAHKAMAH AGUNG Nomor 843 K/Pid.Sus/2023,11,6,2023-06-05,03-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
57,Putusan MAHKAMAH AGUNG Nomor 903 K/Pid.Sus/2023,12,5,2023-06-05,05-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
58,Putusan MAHKAMAH AGUNG Nomor 914 K/Pid.Sus/2023,8,4,2023-06-05,30-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
59,Putusan MAHKAMAH AGUNG Nomor 919 K/Pid.Sus/2023,10,5,2023-06-05,29-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
60,Putusan MAHKAMAH AGUNG Nomor 158 K/Pid.Sus/2021,2,0,2023-06-07,23-04-2021,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
61,Putusan MAHKAMAH AGUNG Nomor 272 PK/Pid.Sus/2022,2,2,2023-06-07,20-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
62,Putusan MAHKAMAH AGUNG Nomor 273 PK/Pid.Sus/2021,2,3,2023-06-07,06-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
63,Putusan MAHKAMAH AGUNG Nomor 284 K/Pid/2023,2,1,2023-06-07,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum,Berkekuatan Hukum Tetap
64,Putusan MAHKAMAH AGUNG Nomor 284 PK/Pid.Sus/2023,2,2,2023-06-07,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
65,Putusan MAHKAMAH AGUNG Nomor 321 PK/Pid.Sus/2022,2,1,2023-06-07,15-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
66,Putusan MAHKAMAH AGUNG Nomor 322 PK/Pid.Sus-LH/2022,1,0,2023-06-07,15-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Pertambangan,Berkekuatan Hukum Tetap
67,Putusan MAHKAMAH AGUNG Nomor 416 K/Pid/2023,2,2,2023-06-07,04-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Perjudian,Berkekuatan Hukum Tetap
68,Putusan MAHKAMAH AGUNG Nomor 712 K/Pid.Sus/2021,6,15,2023-06-06,27-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penggelapan,Berkekuatan Hukum Tetap
69,Putusan MAHKAMAH AGUNG Nomor 849 K/Pid.Sus/2023,6,4,2023-06-06,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
70,Putusan MAHKAMAH AGUNG Nomor 863 K/Pid.Sus/2021,6,7,2023-06-06,07-04-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
71,Putusan MAHKAMAH AGUNG Nomor 882 K/Pid/2021,8,12,2023-06-06,06-10-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Pemalsuan,Berkekuatan Hukum Tetap
72,Putusan MAHKAMAH AGUNG Nomor 948 K/Pid.Sus/2023,8,4,2023-06-06,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
73,Putusan MAHKAMAH AGUNG Nomor 949 K/Pid.Sus/2023,9,6,2023-06-06,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
74,Putusan MAHKAMAH AGUNG Nomor 1064 K/Pid.Sus/2023,8,1,2023-06-06,04-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
75,Putusan MAHKAMAH AGUNG Nomor 1312 K/Pid.Sus/2023,8,0,2023-06-06,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
76,Putusan MAHKAMAH AGUNG Nomor 1458 K/Pid.Sus/2021,8,3,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
77,Putusan MAHKAMAH AGUNG Nomor 1459 K/Pid.Sus/2021,7,1,2023-06-06,09-07-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
78,Putusan MAHKAMAH AGUNG Nomor 2660 K/Pid.Sus/2020,8,3,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
79,Putusan MAHKAMAH AGUNG Nomor 2661 K/Pid.Sus/2020,8,3,2023-06-06,03-09-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
80,Putusan MAHKAMAH AGUNG Nomor 921 K/Pid.Sus/2023,11,5,2023-06-05,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
81,Putusan MAHKAMAH AGUNG Nomor 932 K/Pid.Sus/2023,11,4,2023-06-05,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
82,Putusan MAHKAMAH AGUNG Nomor 933 K/Pid.Sus/2023,8,2,2023-06-05,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
83,Putusan MAHKAMAH AGUNG Nomor 934 K/Pid.Sus/2023,11,5,2023-06-05,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
84,Putusan MAHKAMAH AGUNG Nomor 441 K/Pdt.Sus-PHI/2023,12,16,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Perdata Khusus  PHI,Berkekuatan Hukum Tetap
85,Putusan MAHKAMAH AGUNG Nomor 938 K/Pid.Sus/2023,9,1,2023-06-05,05-04-2023,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
86,Putusan MAHKAMAH AGUNG Nomor 532 K/Pdt.Sus-PHI/2023,13,12,2023-06-05,17-05-2023,Pengadilan  MAHKAMAH AGUNG  Perdata Khusus  PHI,Berkekuatan Hukum Tetap
87,Putusan MAHKAMAH AGUNG Nomor 958 K/Pid.Sus/2023,12,28,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
88,Putusan MAHKAMAH AGUNG Nomor 970 K/Pid.Sus/2023,11,13,2023-06-05,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
89,Putusan MAHKAMAH AGUNG Nomor 970 K/Pid.Sus/2020,9,5,2023-06-05,09-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
90,Putusan MAHKAMAH AGUNG Nomor 978 K/Pid.Sus/2023,7,3,2023-06-05,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
91,Putusan MAHKAMAH AGUNG Nomor 1003 K/Pid.Sus/2023,9,2,2023-06-05,05-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Perikanan,Berkekuatan Hukum Tetap
92,Putusan MAHKAMAH AGUNG Nomor 1005 K/Pid.Sus/2023,12,10,2023-06-05,10-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Farmasi,Berkekuatan Hukum Tetap
93,Putusan MAHKAMAH AGUNG Nomor 1960 K/Pid.Sus/2021,10,6,2023-06-05,15-09-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
94,Putusan MAHKAMAH AGUNG Nomor 3819 K/Pid.Sus/2021,13,7,2023-06-05,12-10-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
95,Putusan MAHKAMAH AGUNG Nomor 1022 K/Pid.Sus/2023,10,3,2023-06-05,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
96,Putusan MAHKAMAH AGUNG Nomor 1025 K/Pid.Sus/2023,10,5,2023-06-05,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
97,Putusan MAHKAMAH AGUNG Nomor 1028 K/Pid.Sus/2023,10,5,2023-06-05,11-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
98,Putusan MAHKAMAH AGUNG Nomor 1036 K/Pid.Sus/2023,10,3,2023-06-05,28-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
99,Putusan MAHKAMAH AGUNG Nomor 1301 K/Pid.Sus/2023,9,3,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
100,Putusan MAHKAMAH AGUNG Nomor 1302 K/Pid.Sus/2023,10,2,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
101,Putusan MAHKAMAH AGUNG Nomor 1303 K/Pid.Sus/2023,14,2,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
102,Putusan MAHKAMAH AGUNG Nomor 1305 K/Pid.Sus/2023,13,1,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
103,Putusan MAHKAMAH AGUNG Nomor 1308 K/Pid.Sus/2023,13,1,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
104,Putusan MAHKAMAH AGUNG Nomor 1317 K/Pid.Sus/2023,12,0,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
105,Putusan MAHKAMAH AGUNG Nomor 1318 K/Pid.Sus/2023,12,0,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
106,Putusan MAHKAMAH AGUNG Nomor 1367 K/Pid.Sus/2023,14,9,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  ITE,Berkekuatan Hukum Tetap
107,Putusan MAHKAMAH AGUNG Nomor 1557 K/Pid.Sus/2023,13,1,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
108,Putusan MAHKAMAH AGUNG Nomor 1559 K/Pid.Sus/2023,12,3,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
109,Putusan MAHKAMAH AGUNG Nomor 1582 K/Pid.Sus/2023,14,0,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
110,Putusan MAHKAMAH AGUNG Nomor 1584 K/Pid.Sus/2023,13,0,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
111,Putusan MAHKAMAH AGUNG Nomor 2676 K/Pid.Sus/2020,13,5,2023-06-05,09-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
112,Putusan MAHKAMAH AGUNG Nomor 4364 K/Pid.Sus/2021,13,5,2023-06-05,18-11-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi  Penggelapan Dalam Jabatan,Berkekuatan Hukum Tetap
113,Putusan MAHKAMAH AGUNG Nomor 296 PK/Pid.Sus/2023,13,0,2023-06-05,29-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
114,Putusan MAHKAMAH AGUNG Nomor 297 PK/Pid.Sus/2023,14,4,2023-06-05,29-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
115,Putusan MAHKAMAH AGUNG Nomor 1048 K/Pid.Sus/2023,14,1,2023-06-05,21-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
116,Putusan MAHKAMAH AGUNG Nomor 7 K/Pid.Sus/2021,13,5,2023-06-05,23-02-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
117,Putusan MAHKAMAH AGUNG Nomor 440 K/Pid.Sus/2021,13,0,2023-06-05,09-03-2021,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
118,Putusan MAHKAMAH AGUNG Nomor 432 K/Pid/2023,14,9,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penipuan,Berkekuatan Hukum Tetap
119,Putusan MAHKAMAH AGUNG Nomor 525 K/Pid/2023,12,3,2023-06-05,08-05-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Pencurian,Berkekuatan Hukum Tetap
120,Putusan MAHKAMAH AGUNG Nomor 938 K/Pid.Sus/2023,9,1,2023-06-05,05-04-2023,Pengadilan  MAHKAMAH AGUNG,Berkekuatan Hukum Tetap
121,Putusan MAHKAMAH AGUNG Nomor 532 K/Pdt.Sus-PHI/2023,14,13,2023-06-05,17-05-2023,Pengadilan  MAHKAMAH AGUNG  Perdata Khusus  PHI,Berkekuatan Hukum Tetap
122,Putusan MAHKAMAH AGUNG Nomor 958 K/Pid.Sus/2023,14,35,2023-06-05,13-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
123,Putusan MAHKAMAH AGUNG Nomor 970 K/Pid.Sus/2023,11,14,2023-06-05,06-04-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
124,Putusan MAHKAMAH AGUNG Nomor 970 K/Pid.Sus/2020,9,5,2023-06-05,09-11-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi,Berkekuatan Hukum Tetap
