,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
2528,Putus :,4,2,2023-03-30,07-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2529,Putus :,12,8,2023-03-30,31-08-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Waris Islam,Berkekuatan Hukum Tetap
2530,Putus :,8,5,2023-03-30,30-11-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
2531,Putus :,32,9,2023-03-30,01-12-2021,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Korupsi  Kerugian Keuangan Negara,Berkekuatan Hukum Tetap
2532,Register :,18,0,2023-03-30,15-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2533,Putusan MAHKAMAH AGUNG Nomor 801 K/Pid.Sus/2023,44,11,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Umum,Berkekuatan Hukum Tetap
2534,Putusan MAHKAMAH AGUNG Nomor 1368 K/Pid/2022,5,2,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2535,Putusan MAHKAMAH AGUNG Nomor 5982 B/PK/PJK/2022,22,4,2023-03-30,07-03-2023,Pengadilan  MAHKAMAH AGUNG  Perdata,Berkekuatan Hukum Tetap
2536,Putusan MAHKAMAH AGUNG Nomor 399 K/Pdt/2023,4,2,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2537,Putusan MAHKAMAH AGUNG Nomor 5366 B/PK/PJK/2022,6,2,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2538,Upload :,6,4,2023-03-30,22-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2539,Upload :,16,0,2023-03-30,06-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2540,Upload :,57,64,2023-03-30,15-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  ITE,Berkekuatan Hukum Tetap
2541,Upload :,16,8,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
