id,kode_provinsi,nama_provinsi,kesatuan_pengelolaan_hutan,jenis_kayu,produksi_kayu_bulat,satuan,tahun
71,32,JAWA BARAT,GARUT,AGATHIS,0.0,M3,2016
72,32,JAWA BARAT,GARUT,SONOKELING,0.0,M3,2016
73,32,JAWA BARAT,GARUT,RASAMALA,0.0,M3,2016
74,32,JAWA BARAT,GARUT,PUSPA,0.0,M3,2016
75,32,JAWA BARAT,GARUT,MAESOPSIS,0.0,M3,2016
76,32,JAWA BARAT,GARUT,ACACIA MANGIUM,0.0,M3,2016
77,32,JAWA BARAT,GARUT,RIMBA CAMPURAN,0.0,M3,2016
78,32,JAWA BARAT,TASIKMALAYA,JATI,6.0,M3,2016
79,32,JAWA BARAT,TASIKMALAYA,PINUS,7.0,M3,2016
80,32,JAWA BARAT,TASIKMALAYA,MAHONI,13.0,M3,2016
81,32,JAWA BARAT,TASIKMALAYA,SENGON,75.0,M3,2016
82,32,JAWA BARAT,TASIKMALAYA,AGATHIS,0.0,M3,2016
83,32,JAWA BARAT,TASIKMALAYA,SONOKELING,0.0,M3,2016
84,32,JAWA BARAT,TASIKMALAYA,RASAMALA,0.0,M3,2016
85,32,JAWA BARAT,TASIKMALAYA,PUSPA,0.0,M3,2016
86,32,JAWA BARAT,TASIKMALAYA,MAESOPSIS,0.0,M3,2016
87,32,JAWA BARAT,TASIKMALAYA,ACACIA MANGIUM,181.0,M3,2016
88,32,JAWA BARAT,TASIKMALAYA,RIMBA CAMPURAN,15.0,M3,2016
89,32,JAWA BARAT,CIAMIS,JATI,13569.0,M3,2016
90,32,JAWA BARAT,CIAMIS,PINUS,452.0,M3,2016
91,32,JAWA BARAT,CIAMIS,MAHONI,2122.0,M3,2016
92,32,JAWA BARAT,CIAMIS,SENGON,0.0,M3,2016
93,32,JAWA BARAT,CIAMIS,AGATHIS,0.0,M3,2016
94,32,JAWA BARAT,CIAMIS,SONOKELING,0.0,M3,2016
95,32,JAWA BARAT,CIAMIS,RASAMALA,0.0,M3,2016
96,32,JAWA BARAT,CIAMIS,PUSPA,0.0,M3,2016
97,32,JAWA BARAT,CIAMIS,MAESOPSIS,0.0,M3,2016
98,32,JAWA BARAT,CIAMIS,ACACIA MANGIUM,39.0,M3,2016
99,32,JAWA BARAT,CIAMIS,RIMBA CAMPURAN,7.0,M3,2016
100,32,JAWA BARAT,SUMEDANG,JATI,13.0,M3,2016
101,32,JAWA BARAT,SUMEDANG,PINUS,604.0,M3,2016
102,32,JAWA BARAT,SUMEDANG,MAHONI,1.0,M3,2016
103,32,JAWA BARAT,SUMEDANG,SENGON,0.0,M3,2016
104,32,JAWA BARAT,SUMEDANG,AGATHIS,0.0,M3,2016
105,32,JAWA BARAT,SUMEDANG,SONOKELING,0.0,M3,2016
106,32,JAWA BARAT,SUMEDANG,RASAMALA,0.0,M3,2016
107,32,JAWA BARAT,SUMEDANG,PUSPA,0.0,M3,2016
108,32,JAWA BARAT,SUMEDANG,MAESOPSIS,0.0,M3,2016
109,32,JAWA BARAT,SUMEDANG,ACACIA MANGIUM,3.0,M3,2016
110,32,JAWA BARAT,SUMEDANG,RIMBA CAMPURAN,298.0,M3,2016
111,32,JAWA BARAT,MAJALENGKA,JATI,3.0,M3,2016
112,32,JAWA BARAT,MAJALENGKA,PINUS,2368.0,M3,2016
113,32,JAWA BARAT,MAJALENGKA,MAHONI,2118.0,M3,2016
114,32,JAWA BARAT,MAJALENGKA,SENGON,0.0,M3,2016
115,32,JAWA BARAT,MAJALENGKA,AGATHIS,0.0,M3,2016
116,32,JAWA BARAT,MAJALENGKA,SONOKELING,25.0,M3,2016
117,32,JAWA BARAT,MAJALENGKA,RASAMALA,0.0,M3,2016
118,32,JAWA BARAT,MAJALENGKA,PUSPA,3.0,M3,2016
119,32,JAWA BARAT,MAJALENGKA,MAESOPSIS,0.0,M3,2016
120,32,JAWA BARAT,MAJALENGKA,ACACIA MANGIUM,148.0,M3,2016
121,32,JAWA BARAT,MAJALENGKA,RIMBA CAMPURAN,0.0,M3,2016
122,32,JAWA BARAT,INDRAMAYU,JATI,2290.0,M3,2016
123,32,JAWA BARAT,INDRAMAYU,PINUS,0.0,M3,2016
124,32,JAWA BARAT,INDRAMAYU,MAHONI,0.0,M3,2016
125,32,JAWA BARAT,INDRAMAYU,SENGON,0.0,M3,2016
126,32,JAWA BARAT,INDRAMAYU,AGATHIS,0.0,M3,2016
127,32,JAWA BARAT,INDRAMAYU,SONOKELING,0.0,M3,2016
128,32,JAWA BARAT,INDRAMAYU,RASAMALA,0.0,M3,2016
129,32,JAWA BARAT,INDRAMAYU,PUSPA,0.0,M3,2016
130,32,JAWA BARAT,INDRAMAYU,MAESOPSIS,0.0,M3,2016
131,32,JAWA BARAT,INDRAMAYU,ACACIA MANGIUM,0.0,M3,2016
132,32,JAWA BARAT,INDRAMAYU,RIMBA CAMPURAN,13.0,M3,2016
133,32,JAWA BARAT,KUNINGAN,JATI,3462.0,M3,2016
134,32,JAWA BARAT,KUNINGAN,PINUS,748.0,M3,2016
135,32,JAWA BARAT,KUNINGAN,MAHONI,76.0,M3,2016
136,32,JAWA BARAT,KUNINGAN,SENGON,120.0,M3,2016
137,32,JAWA BARAT,KUNINGAN,AGATHIS,0.0,M3,2016
138,32,JAWA BARAT,KUNINGAN,SONOKELING,0.0,M3,2016
139,32,JAWA BARAT,KUNINGAN,RASAMALA,0.0,M3,2016
140,32,JAWA BARAT,KUNINGAN,PUSPA,0.0,M3,2016
141,32,JAWA BARAT,KUNINGAN,MAESOPSIS,0.0,M3,2016
142,32,JAWA BARAT,KUNINGAN,ACACIA MANGIUM,8.0,M3,2016
143,32,JAWA BARAT,KUNINGAN,RIMBA CAMPURAN,33.0,M3,2016
144,32,JAWA BARAT,BOGOR,JATI,0.0,M3,2017
145,32,JAWA BARAT,BOGOR,PINUS,0.0,M3,2017
146,32,JAWA BARAT,BOGOR,MAHONI,0.0,M3,2017
147,32,JAWA BARAT,BOGOR,SENGON,0.0,M3,2017
148,32,JAWA BARAT,BOGOR,AGATHIS,0.0,M3,2017
149,32,JAWA BARAT,BOGOR,SONOKELING,0.0,M3,2017
150,32,JAWA BARAT,BOGOR,RASAMALA,0.0,M3,2017
151,32,JAWA BARAT,BOGOR,PUSPA,0.0,M3,2017
152,32,JAWA BARAT,BOGOR,MAESOPSIS,0.0,M3,2017
153,32,JAWA BARAT,BOGOR,ACACIA MANGIUM,10362.95,M3,2017
154,32,JAWA BARAT,BOGOR,RIMBA CAMPURAN,0.0,M3,2017
155,32,JAWA BARAT,SUKABUMI,JATI,1160.733,M3,2017
156,32,JAWA BARAT,SUKABUMI,PINUS,0.0,M3,2017
157,32,JAWA BARAT,SUKABUMI,MAHONI,2381.61,M3,2017
158,32,JAWA BARAT,SUKABUMI,SENGON,0.0,M3,2017
159,32,JAWA BARAT,SUKABUMI,AGATHIS,0.0,M3,2017
160,32,JAWA BARAT,SUKABUMI,SONOKELING,0.0,M3,2017
161,32,JAWA BARAT,SUKABUMI,RASAMALA,1014.66,M3,2017
162,32,JAWA BARAT,SUKABUMI,PUSPA,343.0,M3,2017
163,32,JAWA BARAT,SUKABUMI,MAESOPSIS,26.27,M3,2017
164,32,JAWA BARAT,SUKABUMI,ACACIA MANGIUM,6.4,M3,2017
165,32,JAWA BARAT,SUKABUMI,RIMBA CAMPURAN,163.71,M3,2017
166,32,JAWA BARAT,CIANJUR,JATI,4098.236,M3,2017
167,32,JAWA BARAT,CIANJUR,PINUS,1826.6,M3,2017
168,32,JAWA BARAT,CIANJUR,MAHONI,4633.73,M3,2017
169,32,JAWA BARAT,CIANJUR,SENGON,0.0,M3,2017
170,32,JAWA BARAT,CIANJUR,AGATHIS,3.13,M3,2017
171,32,JAWA BARAT,CIANJUR,SONOKELING,0.0,M3,2017
172,32,JAWA BARAT,CIANJUR,RASAMALA,2516.81,M3,2017
173,32,JAWA BARAT,CIANJUR,PUSPA,76.73,M3,2017
174,32,JAWA BARAT,CIANJUR,MAESOPSIS,0.0,M3,2017
175,32,JAWA BARAT,CIANJUR,ACACIA MANGIUM,365.31,M3,2017
176,32,JAWA BARAT,CIANJUR,RIMBA CAMPURAN,90.97,M3,2017
177,32,JAWA BARAT,PURWAKARTA,JATI,4805.657,M3,2017
