,title,date,description,link
22,"LAN Raih Peringkat Tiga Besar Pelaksanaan Kinerja Anggaran 2021, Ini Kata Menkeu","Rabu, 13 April 2022 - 20:38 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/04/13/20384451/lan-raih-peringkat-tiga-besar-pelaksanaan-kinerja-anggaran-2021-ini-kata
23,"Dorong Pengembangan Kompetensi ASN Daerah, LAN Teken MoU dengan Pemprov Jambi dan Pemkab Tebo","Jumat, 18 Maret 2022 - 19:39 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/03/18/19392061/dorong-pengembangan-kompetensi-asn-daerah-lan-teken-mou-dengan-pemprov-jambi
24,LAN Dapat Dua Penghargaan dari Kementerian PANRB,"Rabu, 9 Maret 2022 - 12:15 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/03/09/12150341/lan-dapat-dua-penghargaan-dari-kementerian-panrb
25,"Dorong Inovasi dan Pengembangan Kapasitas Birokrasi, LAN Tanda Tangani MoU dengan 8 Instansi","Kamis, 3 Maret 2022 - 08:43 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/03/03/08431071/dorong-inovasi-dan-pengembangan-kapasitas-birokrasi-lan-tanda-tangani-mou
26,"Lewat Pelatihan Sosial Kultural, LAN Tingkatkan Rasa Persatuan dan Kesatuan ASN","Selasa, 1 Februari 2022 - 11:41 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/02/01/11411781/lewat-pelatihan-sosial-kultural-lan-tingkatkan-rasa-persatuan-dan-kesatuan
27,"LAN Luncurkan 8 Karya Tulis Ilmiah, ASN Unggul Mobile, dan Aplikasi Gamifikasi","Kamis, 23 Desember 2021 - 09:38 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/12/23/09383381/lan-luncurkan-8-karya-tulis-ilmiah-asn-unggul-mobile-dan-aplikasi-gamifikasi
28,Sistem Merit LAN Kembali Raih Predikat Sangat Baik dari KASN,"Rabu, 8 Desember 2021 - 20:34 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/12/08/20344641/sistem-merit-lan-kembali-raih-predikat-sangat-baik-dari-kasn
29,"Lewat Sertifikat Akreditasi, Lembaga Pelatihan Dituntut Tingkatkan Kompetensi Berbasis Digital","Selasa, 7 Desember 2021 - 10:03 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/12/07/10030161/lewat-sertifikat-akreditasi-lembaga-pelatihan-dituntut-tingkatkan-kompetensi
30,"Ukur Capaian Reformasi Birokrasi, LAN Gelar Seminar Indeks Kualitas Kebijakan","Kamis, 2 Desember 2021 - 21:23 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/12/02/21232571/ukur-capaian-reformasi-birokrasi-lan-gelar-seminar-indeks-kualitas-kebijakan
31,"Soal 8 Kegiatan Prioritas Nasional, Kepala LAN: Apresiasi untuk Semua Stakeholder","Kamis, 25 November 2021 - 20:03 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/11/25/20034271/soal-8-kegiatan-prioritas-nasional-kepala-lan-apresiasi-untuk-semua
32,Sekum LAN Berharap Prestasi Pelaporan Pengelolaan Aset Pacu Kinerja Pegawai,"Senin, 15 November 2021 - 18:23 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/11/15/18232461/sekum-lan-berharap-prestasi-pelaporan-pengelolaan-aset-pacu-kinerja-pegawai
33,Ekspose Hasil Kajian dan Inovasi LAN 2021 Hasilkan 25 Judul Karya,"Jumat, 12 November 2021 - 09:58 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/11/12/09583401/ekspose-hasil-kajian-dan-inovasi-lan-2021-hasilkan-25-judul-karya
34,"Berkat Labinov di 4 Wilayah 3T, LAN Berhasil Lahirkan 261 Inovasi Baru","Jumat, 5 November 2021 - 21:19 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/11/05/21191941/berkat-labinov-di-4-wilayah-3t-lan-berhasil-lahirkan-261-inovasi-baru
35,LAN Berharap Kementerian dan Lembaga Update Data Analis Kebijakan melalui eNIAKN,"Selasa, 25 Oktober 2022 - 09:51 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/25/09515811/lan-berharap-kementerian-dan-lembaga-update-data-analis-kebijakan-melalui
36,"Kembali Gelar Virtual Public Lecturer Seri IX, LAN Terus Dorong Peran Analis Kebijakan dalam Pencapaian Tujuan SDGs","Kamis, 20 Oktober 2022 - 16:58 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/10/20/16584251/kembali-gelar-virtual-public-lecturer-seri-ix-lan-terus-dorong-peran-analis
37,"Miliki Laporan Keuangan Transparan dan Akuntabel, LAN Raih WTP 15 Kali Berturut-turut","Jumat, 23 September 2022 - 09:55 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/23/09551061/miliki-laporan-keuangan-transparan-dan-akuntabel-lan-raih-wtp-15-kali
38,"Menjadi Pusat Studi Kebijakan EROPA sejak 2018, Ini Peran LAN","Sabtu, 17 September 2022 - 12:34 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/12344281/menjadi-pusat-studi-kebijakan-eropa-sejak-2018-ini-peran-lan
39,Seminar Policy Brief Rumuskan Super-App sebagai Media Integrasi Manajemen Talenta ASN ,"Sabtu, 17 September 2022 - 11:44 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/17/11443491/seminar-policy-brief-rumuskan-super-app-sebagai-media-integrasi-manajemen
40,"Tingkatkan Kualitas ASN, LAN Gelar Advokasi Corporate University hingga Sosialisasi Kebijakan Orientasi PPPK","Kamis, 15 September 2022 - 14:30 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/09/15/14302391/tingkatkan-kualitas-asn-lan-gelar-advokasi-corporate-university-hingga
41,"Peringati Hari Jadi Ke-65, LAN Berikan Apresiasi “LAN Award” Kepada Stakeholder","Selasa, 9 Agustus 2022 - 19:56 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/09/19563271/peringati-hari-jadi-ke-65-lan-berikan-apresiasi-lan-award-kepada-stakeholder
42,"Kembangkan Model Pelatihan Kepemimpinan Milenial, LAN Gandeng GNIK Luncurkan ""ASN Talent Academy""","Jumat, 5 Agustus 2022 - 10:05 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/08/05/10053241/kembangkan-model-pelatihan-kepemimpinan-milenial-lan-gandeng-gnik-luncurkan
43,"Kualitas ASN Terus Meningkat, tetapi Masih di Bawah Parameter Global","Rabu, 27 Juli 2022 - 10:52 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/07/27/10525971/kualitas-asn-terus-meningkat-tetapi-masih-di-bawah-parameter-global
44,Kepala LAN Sebut Butuh Kolaborasi dan Sinergi untuk Atasi Permasalahan Latsar CPNS Papua,"Rabu, 22 Juni 2022 - 12:07 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2022/06/22/12074491/kepala-lan-sebut-butuh-kolaborasi-dan-sinergi-untuk-atasi-permasalahan
45,Kepala LAN Berharap Peserta PKN I Menjadi Pemimpin Perubahan yang Inovatif,"Selasa, 2 November 2021 - 21:11 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/11/02/21110561/kepala-lan-berharap-peserta-pkn-i-menjadi-pemimpin-perubahan-yang-inovatif
46,LAN Raih Klasifikasi Badan Publik Informatif 2021,"Selasa, 26 Oktober 2021 - 15:25 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/10/26/15252451/lan-raih-klasifikasi-badan-publik-informatif-2021
47,"Lewat ""Indeks Kualitas Kebijakan"", LAN Berupaya Tingkatkan Kualitas Kebijakan Pemerintah","Selasa, 19 Oktober 2021 - 20:14 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/10/19/20144011/lewat-indeks-kualitas-kebijakan-lan-berupaya-tingkatkan-kualitas-kebijakan
48,Kepala LAN Tekankan Pentingnya Pemerintahan yang Kolaboratif ,"Senin, 18 Oktober 2021 - 18:45 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/10/18/18450721/kepala-lan-tekankan-pentingnya-pemerintahan-yang-kolaboratif
49,Kepala LAN Berharap ASN Bisa Jadi Agen Perubahan dalam Pelayanan Masyarakat,"Jumat, 15 Oktober 2021 - 17:05 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/10/15/17053981/kepala-lan-berharap-asn-bisa-jadi-agen-perubahan-dalam-pelayanan-masyarakat
50,Kepala LAN Minta CPNS Raja Ampat Siap Terapkan Core Value “BerAKHLAK”,"Rabu, 6 Oktober 2021 - 18:14 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2021/10/06/18145641/kepala-lan-minta-cpns-raja-ampat-siap-terapkan-core-value-berakhlak
