,Date,User,Tweet
33,2023-01-30 07:17:56+00:00,PerumPerhutani,"Peringati Hari K3 Nasional, Perhutani Bandung Selatan bersama PMI Kota Bandung Adakan Kegiatan Donor Darah https://t.co/HUOLl6zlT4"
34,2023-01-30 07:17:31+00:00,PerumPerhutani,"Demi Memajukan Dunia Pendidikan, Perhutani Bersinergi Dengan Fakultas Ekonomi dan Bisnis UNIKU Kabupaten Kuningan https://t.co/CfKjWMn0f0"
35,2023-01-30 07:16:36+00:00,PerumPerhutani,Perhutani Lakukan Pemantapan Pembahasan Rencana Kerjasama Wisata Alam Forest Walk Dengan PT. Kampung Makmur Di Sumedang https://t.co/dzqBrbMejO
36,2023-01-30 07:15:28+00:00,PerumPerhutani,Perhutani Bersama Pemdes Lakukan Perbaikan Jalan di Kuningan https://t.co/pQWXCn7a2A
37,2023-01-30 07:12:19+00:00,PerumPerhutani,Paska Libur Sekolah Objek Wisata Kebon Pinus Diserbu Pengunjung https://t.co/IzcfA01KRq
38,2023-01-30 06:53:43+00:00,bondolclekitet,@PerumPerhutani Ass wr wb
39,2023-01-30 06:51:26+00:00,PerumPerhutani,"Jaga Sinergitas, Perhutani Gowes Bareng Forkompimcam Sale https://t.co/WxR0RV7sKM"
40,2023-01-30 06:43:40+00:00,bondolclekitet,@PerumPerhutani Selamat siang
41,2023-01-30 06:29:22+00:00,PerumPerhutani,Perhutani Bersama YKP3JS Serahkan Bantuan Beasiswa Bagi Pelajar Berprestasi di Cepu https://t.co/hICEan0hN6
42,2023-01-30 06:24:42+00:00,PerumPerhutani,Perhutani Bersama LMDH Tandatangani PKS Agroforestry di Balapulang https://t.co/jNXheqRmMs
43,2023-01-30 06:24:04+00:00,PerumPerhutani,Perhutani Bersama LMDH Realisasikan Kerjasama Budidaya Tanaman Sengon di Banyuwangi https://t.co/RV5oFPqVS6
44,2023-01-30 03:55:17+00:00,PerumPerhutani,Perhutani Lakukan Penguatan Kelembagaan terhadap LMDH di Lamongan https://t.co/pjNYqlpsE5
45,2023-01-30 03:03:42+00:00,PerumPerhutani,Perhutani Parengan Rangkul Pelaku Usaha Kuliner Resmi Launching Cafe DJodrodjo dan Santuni Anak Yatim https://t.co/qgrEAAJCTm
46,2023-01-30 02:52:39+00:00,PerumPerhutani,Perhutani KPH Banten Bersama Sekar berikan Santunan Untuk Keluarga Karyawan Meninggal Dunia https://t.co/WOVfHax4jF
47,2023-01-30 02:52:16+00:00,PerumPerhutani,Perhutani KPH Cianjur bersama PT. Djarum Jajaki Kerjasama Bidang Ekowisata https://t.co/h5pbjS2E8b
48,2023-01-30 02:51:53+00:00,PerumPerhutani,Perhutani Bersama Pemdes Dan LMDH Bahu Membahu Bangun Gapura Wisata Situ Wulukut https://t.co/nAcO6EqVMX
49,2023-01-30 02:51:33+00:00,PerumPerhutani,Perhutani Terima Praktek Kerja Lapangan dan Magang Mahasiswa Fakultas Kehutanan Uniku Kabupaten Kuningan https://t.co/gs2SjPdR0p
50,2023-01-30 01:01:18+00:00,PerumPerhutani,Perhutani Bersama Dinas Pertanian Gandeng Investor Untuk Hijaukan Kembali Pegunungan Kendeng Utara https://t.co/oNSQvHffKj
51,2023-01-30 00:41:18+00:00,PerumPerhutani,Wisata Pantai Logending Perhutani Sajikan Panorama Pantai dan Hijaunya Hutan Jati https://t.co/374Knvnm87
52,2023-01-27 11:31:40+00:00,PerumPerhutani,Perhutani Madiun Terima Kunjungan Lapangan Executive Director JIFPRO di Madiun https://t.co/Hg4Ca8ygrP
53,2023-01-27 09:38:58+00:00,PerumPerhutani,Perhutani Bondowoso Bersama Lembaga Kesehatan Lakukan Cek Kesehatan Berkala bagi Karyawan https://t.co/26wlyTo3Iu
54,2023-01-27 08:41:38+00:00,PerumPerhutani,Perhutani Lawu Ds Terima Kunjungan Studi Banding Gapoktanhut dan LMDH dari Ngawi https://t.co/0U0QNHsH53
55,2023-01-27 07:13:23+00:00,PerumPerhutani,Perhutani Ngawi Terima Kunjungan Lapangan Mahasiswa Universitas Lambung Mangkurat https://t.co/rS9iCAZuxT
56,2023-01-27 06:52:51+00:00,PerumPerhutani,Perhutani Madura Sosialisasikan Program Kerja kepada LMDH Khususnya Penggarap Lahan di Bawah Tegakan di Sumenep https://t.co/J3tB3GA0rs
57,2023-01-27 06:21:31+00:00,PerumPerhutani,Perhutani Tandatangani Perjanjian Kerjasama Bidang Hukum Bersama Kejaksaan Negeri Tegal https://t.co/UiW4IhS1fi
58,2023-01-27 06:06:28+00:00,PerumPerhutani,Perhutani Lakukan Aksi Donor Darah di Blora https://t.co/UiKeVS1MJb
59,2023-01-27 05:57:56+00:00,PerumPerhutani,Pesona Alam Yang Menawan di Puncak Gunung Telomoyo https://t.co/a0RTlFR68X
60,2023-01-26 07:51:51+00:00,PerumPerhutani,"Memulai Pekerjaan di Tahun 2023, Perhutani Jombang Gelar Out Bond dan Santuni Anak Yatim https://t.co/PChbgCoQqf"
61,2023-01-26 06:28:41+00:00,PerumPerhutani,Perhutani Ngawi Gelar Aksi Donor Darah Bersama PMI https://t.co/9lkGcI3xaN
62,2023-01-26 05:46:09+00:00,KakekHalal,"Gub @Ganjarpranowo menghadiri penanaman jagung di Petak 49 Hutan Produksi Jragung, Desa Candirejo, Kab. Semarang (24/1).

Kegiatan yang diinisiasi oleh Satgas Pangan @poldajateng_, @PerumPerhutani &amp; kelompok petani tersebut menjadi langkah meningkatkan produksi komoditas pangan. https://t.co/slFV0Xlpdk"
63,2023-01-26 04:02:46+00:00,PerumPerhutani,Aksi Donor Darah Mewarnai Peringatan Bulan K3 Nasional di Perhutani Lawu DS https://t.co/fkVysFGdNj
64,2023-01-26 03:34:10+00:00,PerumPerhutani,"Dukung Program Ketahanan Pangan Nasional, Perhutani Bersama Kodim 0812 Lamongan Tanam Jagung Bersama https://t.co/siUFAayKxG"
65,2023-01-26 02:08:31+00:00,humasjateng,"Gub @Ganjarpranowo menghadiri penanaman jagung di Petak 49 Hutan Produksi Jragung, Desa Candirejo, Kab. Semarang (24/1).

Kegiatan yang diinisiasi oleh Satgas Pangan @poldajateng_, @PerumPerhutani &amp; kelompok petani tersebut menjadi langkah meningkatkan produksi komoditas pangan. https://t.co/dtvyUxb91c"
66,2023-01-26 01:39:12+00:00,PerumPerhutani,Perhutani Bimbing 5 Mahasiswa Fakultas Kehutanan UGM Praktek SILIN https://t.co/6Jc0xDhy0n
67,2023-01-26 01:34:15+00:00,PerumPerhutani,"Pererat Sinergitas, Perhutani Koordinasi Bersama Dandim 0708 Purworejo dan Pinca BRI Purworejo https://t.co/YEZlVYOgJy"
68,2023-01-26 01:27:13+00:00,PerumPerhutani,"Perhutani Kerjasama Dengan Laboratorium Patra Medica, Cek Kesehatan di Cepu https://t.co/3yfVN0DyIj"
69,2023-01-26 01:22:09+00:00,PerumPerhutani,Perhutani Tandatangani Mou Bersama Kejari Tegal https://t.co/DXFMCzzsnN
70,2023-01-26 00:32:45+00:00,PerumPerhutani,"Jaga Kelestarian Hutan, Perhutani Bersama Stakeholders Lakukan Penanaman Bersama di Lamongan https://t.co/BhA7739et6"
71,2023-01-26 00:07:01+00:00,PerumPerhutani,"Tumbuhkan Kepedulian Sosial, Perhutani Bersama Forkopimcam Bluluk Santuni Anak Yatim di Lamongan https://t.co/j3OZAAm2ZZ"
72,2023-01-25 23:48:20+00:00,PerumPerhutani,Perhutani Hadiri Penyusunan Program Kerja Musrenbangdes di Lamongan https://t.co/en8vZZkYlU
73,2023-01-25 23:29:10+00:00,PerumPerhutani,Perhutani Tingkatkan Koordinasi dengan Lembaga Kepolisian Tekan Angka Gukamhut https://t.co/XPuSKo4ML6
74,2023-01-25 10:13:37+00:00,PerumPerhutani,"Dukung Genggong Go Green ke- IV, Perhutani Bersama Ponpes Genggong dan Stakeholders Tanam 1000 Pohon https://t.co/U9y6CMl0w6"
75,2023-01-25 10:00:38+00:00,PerumPerhutani,Perhutani lakukan Koordinasi Keamanan dan Perlindungan Hutan dengan Polda Jabar https://t.co/EQVP7ULq0z
76,2023-01-25 10:00:01+00:00,PerumPerhutani,Perhutani Janten bersama Kajati Jabar tandatangani MOU di Bidang Hukum Perdata dan Tata Usaha Negara https://t.co/z08nlx1gQJ
77,2023-01-25 09:44:41+00:00,PerumPerhutani,Perhutani Koordinasikan dengan Camat Sambeng Guna Tingkatkan Indexs Pendapatan Masyarakat Sekitar Hutan di Lamongan https://t.co/RX3HjSRqIp
78,2023-01-25 07:05:46+00:00,PerumPerhutani,"Solidaritas Perhutani dan TNI/Polri, Bagikan Paket Sembako kepada Masyarakat Desa Hutan https://t.co/fhLGAUzGFc"
79,2023-01-25 03:43:54+00:00,PerumPerhutani,Perhutani Berikan Santunan Meninggal Dunia Kepada Ahli Waris https://t.co/eT5CGrty9A
80,2023-01-25 03:42:54+00:00,PerumPerhutani,Peringati Hari Sejuta Pohon Perhutani Tasikmalaya Melaksanakan Penanaman Bersama SMAN 1 Cikatomas https://t.co/RUunObwpuo
81,2023-01-25 03:41:57+00:00,PerumPerhutani,Perhutani bersama LMDH Laksanakan Kegiatan Job Training dan Cutting Test di Sumedang https://t.co/wl7GtNBFHD
82,2023-01-25 03:40:56+00:00,PerumPerhutani,Perhutani Melaksanakan Penandatanganan Nota Kesepahaman Dengan BPBD Kabupaten Bogor https://t.co/nrF8cO8ssn
83,2023-01-25 03:08:02+00:00,PerumPerhutani,Perhutani Sosialisasikan Program Kerja Bidang Agroforestry kepada Petani Hutan di Lamongan https://t.co/iC9HU8QsiX
84,2023-01-25 02:35:59+00:00,PerumPerhutani,"Jalin Sinergi dengan Pemdes, Perhutani, Kapolres dan Kodim 0821 Lumajang Ajak Masyarakat Rawat Hutan untuk Kesejahteraan https://t.co/Sk7t1Iom19"
85,2023-01-25 02:03:12+00:00,fatyakresnawan,@catchthesunsets @infobandung @xplorerancaupas @BDGPodcast @ilovebdg @PerumPerhutani @infobdg 🙏🏻👍🏻🙏🏻👍🏻
86,2023-01-25 01:34:00+00:00,PerumPerhutani,Perhutani Sosialisasikan Penerapan SNI 8911 dan TUHH Bersama Forkompincam Purwojati https://t.co/CBzOVT5ZkW
87,2023-01-25 01:20:26+00:00,catchthesunsets,@fatyakresnawan @infobandung @xplorerancaupas @BDGPodcast @ilovebdg @PerumPerhutani @infobdg Thankyouu fat!
88,2023-01-25 00:05:19+00:00,PerumPerhutani,Perhutani Bondowoso Teken PKS Bidang Sarana/Prasarana Pendidikan Informal https://t.co/db6BQuOpZB
89,2023-01-24 23:34:23+00:00,PerumPerhutani,Perhutani Bersama KPMM Tanam Mangrove dalam rangka Peringatan Hari Satu Juta Pohon Se-Dunia di Pamekasan https://t.co/FQXOSzi7KJ
90,2023-01-24 13:08:47+00:00,PerumPerhutani,Perhutani Lakukan Koordinasi dan Evaluasi kepada LMDH untuk Pencapaian Keberhasilan Tanaman di Sumenep https://t.co/4gxhkoAUzW
91,2023-01-24 12:46:30+00:00,PerumPerhutani,"Sosialisasikan Program Kerja kepada Masyarakat Desa Hutan, Perhutani Gandeng Forkopimcam Sambeng Lamongan https://t.co/OopqSLzq3w"
92,2023-01-24 11:25:42+00:00,PerumPerhutani,"Bersepeda dan Menanam, Perhutani Dukung Genggong Go Green Carnival ke-IV di Probolinggo https://t.co/RhTu93WhhW"
93,2023-01-24 10:24:27+00:00,PerumPerhutani,Perhutani Ngawi Kerjasamakan Asset Tanah DK Bersama Mantan Bupati untuk Bisnis Waralaba https://t.co/iYk6uZn5tK
94,2023-01-24 09:33:57+00:00,PerumPerhutani,"Peringati Harlah Sekar ke-18, DPD Sekar Perhutani Saradan Gelar Doa dan Santuni Anak Yatim https://t.co/0mna9G7Ujj"
95,2023-01-24 09:04:40+00:00,PerumPerhutani,Perhutani Tingkatkan Koordinasi Keamanan dengan Lembaga Kepolisian di Level Tapak https://t.co/pJaT77yL6U
96,2023-01-24 07:59:31+00:00,PerumPerhutani,Perhutani Bimbing Mahasiswa UGM Yogyakarta Dalam Program Magang Mandiri https://t.co/GmLbm8Co4n
97,2023-01-24 07:56:25+00:00,PerumPerhutani,Perhutani Bersama Stakeholder Gelar Puncak Maraton Konservasi di Gunung Prau https://t.co/f3JXhXjByK
