,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
75,11087,59,81,2124,0,0.0,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,219,0
76,22930,1486,1780,3052,0,0.0,1.0,7,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,281,0
77,13065,71,279,97,0,0.0,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,218,0
78,1585,2074,112,225,2,1.375,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,300,0
79,11221,81,13,1033,0,0.3,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,133,0
80,11221,81,13,1033,0,0.3,1.0,12,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,133,0
81,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
82,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
83,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
84,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
85,900,1,64,106,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,226,1
86,1390,30,209,1968,0,0.0,1.0,11,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,238,0
87,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
88,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
89,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
90,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
91,181,71,121,223,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,226,1
92,182,19,26,229,2,1.75,1.0,13,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,216,1
93,186,15,34,229,2,1.375,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,204,1
94,186,13,15,229,2,1.375,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
95,186,35,81,291,2,1.375,1.0,8,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,219,1
96,41900,452,897,5193,3,3.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,45,0
97,384214,101135,58,4812,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,137,0
98,11221,81,13,1033,0,0.3,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,126,0
99,16747,61,98,4000,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,220,0
100,1922,111,40,5075,0,0.0,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,216,0
101,2596,5,99,95,0,0.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,242,1
102,1585,2074,112,225,4,1.375,1.0,11,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,242,1
103,191,0,5,208,0,0.1111111111111111,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
104,178,1,6,183,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
105,193,0,6,218,0,0.07142857142857142,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,0
106,194,0,8,219,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,208,0
107,182,0,4,179,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
108,136,0,0,182,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,211,0
109,193,0,5,211,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
110,3181,41,172,3296,3,1.1428571428571428,1.0,10,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,177,0
111,1864,0,6,298,0,0.0,1.0,11,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,171,0
112,352,1,38,711,1,1.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,190,0
113,191,0,5,208,0,0.1111111111111111,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
114,178,1,6,183,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
115,177,0,2,182,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
116,194,0,0,220,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,218,0
117,195,1,5,219,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,208,0
118,193,0,6,218,0,0.07142857142857142,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,196,0
119,194,0,8,219,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
120,182,0,4,179,0,0.0,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,211,0
121,122,11,18,3664,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,137,0
122,122,11,18,3664,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,128,0
123,851101,993477,90,5237,0,0.34285714285714286,1.0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,69,0
124,3181,41,172,3296,0,1.1428571428571428,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,153,0
125,22885,667,735,2980,0,0.0,1.0,9,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,242,0
126,93,0,19,74,1,0.6666666666666666,1.0,11,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,61,0
127,384214,101135,58,4812,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,141,0
128,949,48,128,4075,0,0.0,1.0,9,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,87,0
129,980572,404766,294,4294,0,0.0,1.0,8,0,1,0,0,1,0,0,2,0,0,1,1,1,0,1,0,1,91,1
130,6053,67,14,175,0,0.0,1.0,13,0,1,0,0,1,0,0,2,0,0,1,1,1,0,1,0,1,91,1
131,34438,15870,8285,4145,0,0.0,1.0,14,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,252,0
132,851101,993477,90,5237,0,0.34285714285714286,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,64,0
133,4195,12,27,3418,0,0.0,1.0,12,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,181,0
134,285,24,30,365,0,0.0,1.0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,255,0
135,285,24,30,365,0,0.0,1.0,10,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,210,0
136,1730,246,615,1278,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,102,0
137,192193,105095,33,4891,0,0.05263157894736842,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,143,0
138,12696,300,1434,1649,0,0.0,1.0,10,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,155,0
139,633,1,0,322,0,0.0,1.0,14,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,88,0
140,63794,423,838,4511,0,0.0,1.0,9,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,62,0
141,7316,226,879,1066,0,0.0,1.0,10,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,43,0
142,15262,273,574,3417,0,0.0,1.0,13,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,74,0
143,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,199,1
144,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,229,1
145,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,237,1
146,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,217,1
147,857,415,33,3096,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,230,1
148,182,19,26,229,1,1.75,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,237,1
149,181,71,121,223,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,230,1
150,186,15,34,229,1,1.375,1.0,14,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,217,1
151,186,13,15,229,1,1.375,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,229,1
152,186,35,81,291,1,1.375,1.0,8,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,199,1
