"From,To,Africa,,""North America"",,""South America"",,""Asia (ex China)"",,""Western & Central Europe"",,""Russia & Eastern Europe"",,Oceania,,""Gulf Cooperation Council"",,""China (Estimated)"",,""Estimated Unreported to IAI"",,Total,,""Daily Average"","
"2013-11-01,2013-12-01,150,,388,,151,,194,,302,,308,,174,,310,,2332,,90,,4399,,146.6,"
"2013-12-01,2014-01-01,156,,399,,155,,206,,304,,316,,179,,336,,2322,,90,,4463,,144.0,"
"2014-01-01,2014-02-01,156,,399,,157,,201,,296,,318,,176,,354,,2311,,150,,4518,,145.7,"
"2014-02-01,2014-03-01,138,,362,,139,,182,,275,,287,,159,,332,,2152,,150,,4176,,149.1,"
"2014-03-01,2014-04-01,151,,400,,152,,201,,302,,319,,177,,388,,2349,,150,,4589,,148.0,"
"2014-04-01,2014-05-01,147,,381,,140,,195,,290,,308,,173,,394,,2243,,150,,4421,,147.4,"
"2014-05-01,2014-06-01,152,,392,,135,,203,,304,,319,,178,,418,,2250,,150,,4501,,145.2,"
"2014-06-01,2014-07-01,143,,372,,117,,193,,297,,309,,174,,412,,2312,,150,,4479,,149.3,"
"2014-07-01,2014-08-01,144,,386,,117,,203,,306,,319,,175,,427,,2340,,150,,4567,,147.3,"
"2014-08-01,2014-09-01,148,,386,,116,,198,,306,,319,,166,,426,,2398,,150,,4613,,148.8,"
"2014-09-01,2014-10-01,142,,372,,111,,194,,298,,310,,160,,413,,2412,,150,,4562,,152.1,"
"2014-10-01,2014-11-01,144,,379,,120,,204,,307,,321,,165,,426,,2463,,150,,4679,,150.9,"
"2014-11-01,2014-12-01,139,,370,,116,,222,,302,,312,,165,,414,,2512,,150,,4702,,156.7,"
"2014-12-01,2015-01-01,142,,386,,123,,233,,313,,323,,167,,428,,2575,,150,,4840,,156.1,"
"2015-01-01,2015-02-01,143,,385,,120,,236,,315,,321,,167,,431,,2583,,150,,4851,,156.5,"
"2015-02-01,2015-03-01,130,,348,,106,,217,,287,,293,,151,,393,,2348,,150,,4423,,158.0,"
"2015-03-01,2015-04-01,141,,384,,120,,242,,316,,324,,168,,437,,2587,,150,,4869,,157.1,"
"2015-04-01,2015-05-01,138,,371,,114,,242,,307,,313,,162,,420,,2581,,150,,4798,,159.9,"
"2015-05-01,2015-06-01,144,,381,,114,,254,,318,,323,,168,,433,,2690,,150,,4975,,160.5,"
"2015-06-01,2015-07-01,140,,365,,104,,244,,310,,313,,163,,420,,2743,,150,,4952,,165.1,"
"2015-07-01,2015-08-01,142,,374,,103,,251,,317,,322,,169,,430,,2711,,150,,4969,,160.3,"
"2015-08-01,2015-09-01,145,,378,,112,,257,,316,,322,,168,,433,,2721,,150,,5002,,161.4,"
"2015-09-01,2015-10-01,140,,366,,104,,256,,308,,315,,163,,419,,2703,,150,,4924,,164.1,"
"2015-10-01,2015-11-01,144,,377,,110,,267,,317,,328,,169,,433,,2662,,150,,4957,,159.9,"
"2015-11-01,2015-12-01,139,,369,,106,,262,,313,,320,,162,,417,,2671,,150,,4909,,163.6,"
"2015-12-01,2016-01-01,141,,371,,112,,273,,321,,335,,168,,438,,2518,,150,,4827,,155.7,"
"2016-01-01,2016-02-01,141,,368,,113,,277,,321,,338,,169,,432,,2565,,150,,4874,,157.2,"
"2016-02-01,2016-03-01,133,,344,,107,,259,,299,,317,,156,,409,,2149,,150,,4323,,149.1,"
"2016-03-01,2016-04-01,141,,329,,115,,273,,321,,338,,167,,435,,2705,,150,,4974,,160.5,"
"2016-04-01,2016-05-01,135,,329,,112,,264,,312,,327,,162,,424,,2651,,150,,4866,,162.2,"
"2016-05-01,2016-06-01,142,,337,,117,,281,,322,,338,,168,,439,,2760,,150,,5054,,163.0,"
"2016-06-01,2016-07-01,139,,324,,107,,282,,307,,326,,164,,422,,2768,,150,,4989,,166.3,"
"2016-07-01,2016-08-01,144,,336,,115,,299,,315,,335,,169,,439,,2744,,150,,5046,,162.8,"
"2016-08-01,2016-09-01,145,,334,,114,,301,,317,,334,,168,,441,,2798,,150,,5102,,164.6,"
"2016-09-01,2016-10-01,141,,325,,112,,293,,310,,325,,164,,431,,2833,,150,,5084,,169.5,"
"2016-10-01,2016-11-01,148,,337,,118,,299,,320,,337,,170,,447,,2811,,150,,5137,,165.7,"
"2016-11-01,2016-12-01,139,,326,,111,,301,,313,,327,,164,,432,,2882,,150,,5145,,171.5,"
"2016-12-01,2017-01-01,143,,338,,120,,313,,322,,339,,150,,446,,2975,,150,,5296,,170.8,"
"2017-01-01,2017-02-01,143,,337,,117,,315,,320,,339,,151,,446,,3260,,150,,5578,,179.9,"
"2017-02-01,2017-03-01,130,,304,,105,,289,,290,,306,,131,,407,,2814,,150,,4926,,175.9,"
"2017-03-01,2017-04-01,142,,337,,118,,336,,320,,338,,148,,454,,3017,,150,,5360,,172.9,"
"2017-04-01,2017-05-01,138,,326,,116,,318,,312,,327,,142,,418,,3066,,150,,5313,,177.1,"
"2017-05-01,2017-06-01,141,,335,,120,,319,,321,,338,,144,,429,,3135,,150,,5432,,175.2,"
"2017-06-01,2017-07-01,140,,323,,114,,311,,310,,327,,149,,426,,3231,,150,,5481,,182.7,"
"2017-07-01,2017-08-01,142,,334,,119,,324,,320,,339,,156,,445,,2996,,150,,5325,,171.8,"
"2017-08-01,2017-09-01,143,,336,,118,,337,,320,,339,,160,,423,,2950,,150,,5276,,170.2,"
"2017-09-01,2017-10-01,138,,324,,111,,342,,310,,329,,157,,404,,2906,,150,,5171,,172.4,"
"2017-10-01,2017-11-01,142,,335,,119,,352,,320,,342,,161,,428,,2856,,150,,5205,,167.9,"
"2017-11-01,2017-12-01,139,,322,,110,,345,,311,,332,,155,,424,,2650,,150,,4938,,164.6,"
"2017-12-01,2018-01-01,141,,337,,111,,363,,322,,343,,163,,445,,3024,,150,,5399,,174.2,"
"2018-01-01,2018-02-01,138,,322,,110,,369,,321,,344,,162,,452,,2993,,139,,5350,,172.6,"
"2018-02-01,2018-03-01,128,,285,,103,,338,,282,,311,,146,,414,,2750,,125,,4882,,174.4,"
"2018-03-01,2018-04-01,143,,319,,112,,377,,310,,345,,162,,462,,3042,,139,,5411,,174.5,"
"2018-04-01,2018-05-01,138,,311,,103,,355,,303,,334,,156,,443,,3007,,133,,5283,,176.1,"
"2018-05-01,2018-06-01,134,,321,,94,,372,,315,,345,,163,,452,,3090,,139,,5425,,175.0,"
"2018-06-01,2018-07-01,140,,303,,88,,368,,310,,333,,155,,437,,3050,,133,,5317,,177.2,"
"2018-07-01,2018-08-01,144,,313,,96,,376,,321,,343,,166,,451,,3115,,139,,5464,,176.3,"
"2018-08-01,2018-09-01,144,,320,,95,,377,,321,,343,,163,,454,,3120,,139,,5476,,176.6,"
"2018-09-01,2018-10-01,138,,310,,89,,364,,312,,332,,159,,437,,3010,,133,,5284,,176.1,"
"2018-10-01,2018-11-01,143,,323,,93,,377,,321,,343,,164,,450,,3126,,139,,5479,,176.7,"
"2018-11-01,2018-12-01,137,,318,,89,,361,,310,,332,,156,,432,,3042,,133,,5310,,177.0,"
"2018-12-01,2019-01-01,141,,329,,92,,381,,307,,344,,165,,447,,3140,,139,,5485,,176.9,"
"2019-01-01,2019-02-01,140,,326,,82,,373,,306,,345,,161,,461,,3076,,150,,5420,,174.8,"
"2019-02-01,2019-03-01,127,,296,,82,,345,,274,,314,,147,,416,,2776,,134,,4911,,175.4,"
"2019-03-01,2019-04-01,144,,325,,89,,378,,296,,349,,162,,464,,3038,,150,,5395,,174.0,"
"2019-04-01,2019-05-01,135,,318,,81,,363,,286,,339,,158,,452,,2958,,144,,5234,,174.5,"
"2019-05-01,2019-06-01,142,,326,,86,,374,,293,,353,,164,,467,,3055,,150,,5410,,174.5,"
"2019-06-01,2019-07-01,135,,314,,85,,360,,284,,343,,159,,458,,2973,,144,,5255,,175.2,"
"2019-07-01,2019-08-01,137,,322,,93,,372,,286,,356,,162,,480,,3060,,150,,5418,,174.8,"
"2019-08-01,2019-09-01,139,,321,,95,,374,,286,,356,,165,,494,,2974,,150,,5354,,172.7,"
"2019-09-01,2019-10-01,134,,310,,94,,361,,276,,344,,158,,478,,2917,,144,,5216,,173.9,"
"2019-10-01,2019-11-01,138,,316,,101,,370,,286,,356,,162,,495,,2976,,150,,5350,,172.6,"
"2019-11-01,2019-12-01,133,,311,,95,,357,,282,,345,,157,,483,,2948,,144,,5255,,175.2,"
"2019-12-01,2020-01-01,139,,324,,96,,368,,294,,357,,161,,506,,3044,,150,,5439,,175.5,"
"2020-01-01,2020-02-01,136,,330,,98,,353,,284,,356,,160,,498,,3087,,172,,5474,,176.6,"
"2020-02-01,2020-03-01,127,,314,,90,,336,,263,,331,,151,,473,,2900,,161,,5146,,177.4,"
"2020-03-01,2020-04-01,139,,342,,91,,347,,287,,354,,160,,499,,3065,,172,,5456,,176.0,"
"2020-04-01,2020-05-01,133,,333,,71,,333,,277,,342,,155,,481,,2993,,166,,5284,,176.1,"
"2020-05-01,2020-06-01,139,,346,,73,,342,,284,,351,,162,,495,,3068,,172,,5432,,175.2,"
"2020-06-01,2020-07-01,130,,330,,73,,337,,274,,340,,158,,474,,3028,,166,,5310,,177.0,"
"2020-07-01,2020-08-01,135,,333,,78,,343,,281,,349,,163,,490,,3121,,172,,5465,,176.3,"
"2020-08-01,2020-09-01,135,,331,,84,,349,,280,,349,,162,,484,,3179,,172,,5525,,178.2,"
"2020-09-01,2020-10-01,131,,317,,83,,341,,270,,338,,158,,469,,3139,,166,,5412,,180.4,"
"2020-10-01,2020-11-01,136,,334,,87,,350,,280,,351,,163,,494,,3250,,172,,5617,,181.2,"
"2020-11-01,2020-12-01,129,,328,,86,,344,,272,,340,,157,,479,,3207,,166,,5508,,183.6,"
"2020-12-01,2021-01-01,135,,338,,92,,365,,282,,352,,163,,497,,3300,,172,,5696,,183.7,"
"2021-01-01,2021-02-01,133,,340,,95,,376,,285,,353,,161,,492,,3363,,160,,5758,,185.7,"
"2021-02-01,2021-03-01,121,,308,,86,,339,,259,,319,,146,,453,,3048,,142,,5221,,186.5,"
"2021-03-01,2021-04-01,131,,338,,98,,378,,288,,353,,162,,496,,3364,,160,,5768,,186.1,"
"2021-04-01,2021-05-01,130,,327,,95,,366,,281,,341,,158,,477,,3257,,154,,5586,,186.2,"
"2021-05-01,2021-06-01,136,,339,,99,,379,,292,,351,,160,,497,,3355,,160,,5768,,186.1,"
"2021-06-01,2021-07-01,130,,328,,96,,370,,270,,340,,153,,474,,3215,,154,,5530,,184.3,"
"2021-07-01,2021-08-01,135,,333,,98,,384,,279,,350,,159,,493,,3327,,160,,5718,,184.5,"
"2021-08-01,2021-09-01,136,,315,,101,,385,,279,,350,,159,,501,,3289,,160,,5675,,183.1,"
"2021-09-01,2021-10-01,132,,304,,96,,372,,271,,340,,156,,492,,3151,,154,,5468,,182.3,"
"2021-10-01,2021-11-01,137,,318,,100,,387,,279,,352,,160,,510,,3270,,160,,5673,,183.0,"
"2021-11-01,2021-12-01,131,,308,,98,,373,,268,,339,,154,,492,,3089,,154,,5406,,180.2,"
"2021-12-01,2022-01-01,138,,322,,101,,390,,278,,351,,160,,512,,3109,,160,,5521,,178.1,"
"2022-01-01,2022-02-01,137,,321,,102,,392,,262,,349,,159,,514,,3252,,209,,5697,,183.8,"
"2022-02-01,2022-03-01,123,,291,,91,,355,,230,,314,,145,,464,,2980,,188,,5181,,185.0,"
"2022-03-01,2022-04-01,137,,325,,95,,390,,253,,350,,159,,517,,3358,,209,,5793,,186.9,"
"2022-04-01,2022-05-01,131,,315,,94,,377,,244,,333,,148,,500,,3313,,201,,5656,,188.5,"
"2022-05-01,2022-06-01,139,,325,,101,,387,,250,,345,,151,,516,,3444,,209,,5867,,189.3,"
"2022-06-01,2022-07-01,135,,312,,103,,372,,243,,338,,148,,498,,3348,,201,,5698,,189.9,"
"2022-07-01,2022-08-01,138,,306,,111,,382,,252,,350,,153,,518,,3519,,209,,5938,,191.5,"
"2022-08-01,2022-09-01,140,,305,*,116,,391,,250,,350,,154,,514,,3521,,209,,5950,,191.9,"
"2022-09-01,2022-10-01,135,,301,,115,,380,,237,,332,,151,,501,,3363,,201,,5716,,190.5,"
"2022-10-01,2022-11-01,139,,313,,120,,394,,236,,344,,160,,511,,3460,,209,,5886,,189.9,"
"2022-11-01,2022-12-01,126,,308,,118,,380,,224,,333,,155,,500,,3392,,201,,5737,,191.2,"
"2022-12-01,2023-01-01,140,,321,,122,,391,,232,,343,,160,,521,,3480,,209,,5919,,190.9,"
"2023-01-01,2023-02-01,138,,321,,123,,390,,230,,344,,161,,517,,3464,,209,,5897,,190.2,"
"2023-02-01,2023-03-01,123,,292,,111,,359,,209,,310,,144,,474,,3120,,188,,5330,,190.4,"
"2023-03-01,2023-04-01,131,,325,,122,,398,,230,,343,,158,,519,,3424,,209,,5859,,189.0,"
"2023-04-01,2023-05-01,129,,320,,118,,385,,224,,329,,153,,503,,3351,,201,,5713,,190.4,"
"2023-05-01,2023-06-01,136,,329,,122,,397,,229,,340,,160,,521,,3479,,209,,5922,,191.0,"
"2023-06-01,2023-07-01,131,,321,,121,,385,,223,,327,,153,,503,,3378,,201,,5743,,191.4,"
"2023-07-01,2023-08-01,136,,330,,124,,395,,230,,337,,159,,519,,3601,,209,,6040,,194.8,"
"2023-08-01,2023-09-01,135,,332,,125,,398,,230,,338,,160,,520,*,3642,*,209,,6089,*,196.4,*"
"2023-09-01,2023-10-01,133,,322,,124,,386,,223,,327,,155,,503,*,3536,*,201,,5910,*,197.0,*"
"2023-10-01,2023-11-01,139,,336,,127,,401,,230,,344,,162,,518,,3654,*,209,,6120,*,197.4,*"
"2023-11-01,2023-12-01,132,,329,,123,,389,,224,,332,,157,,506,,3500,,201,,5893,,196.4,"
